ingest_id,ingest_suffix,ingest_format,ingest_uri_short
phat,drz,fits,Drizzled_images
phat,drz,fits,Image_mosaics
phat,phot-all,txt.gz,Photometry_catalogs
phat,phot-all,txt.gz,Time_domain_data
phat,gst,fits,Photometry_catalogs
phat,phot,fits,Photometry_catalogs
phat,st,fits,Photometry_catalogs
phat,drz,fits,this
phat,256,jpg,preview
phat,rgb,jpg,preview
phat,phot-all,txt.gz,this
phat,dol,param,auxiliary
phat,columns,txt,documentation
phat,gst,fits,this
phat,phot,fits,this
phat,st,fits,this
phat,drz,fits,Observational
phat,256,jpg,Observational
phat,rgb,jpg,Observational
phat,phot-all,txt.gz,Observational
phat,dol,param,Observational
phat,columns,txt,Observational
phat,gst,fits,Observational
phat,phot,fits,Observational
phat,st,fits,Observational
