ingest_id,ingest_suffix,ingest_format,ingest_uri_short
mstarpanspec,var-res-sed-quiescent,fits,Multi-waveband_composite_spectra
mstarpanspec,var-res-sed-quiescent,fits,Multi-instrument_composite_spectra
mstarpanspec,var-res-sed-quiescent,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,const-res-sed-quiescent,fits,Multi-waveband_composite_spectra
mstarpanspec,const-res-sed-quiescent,fits,Multi-instrument_composite_spectra
mstarpanspec,const-res-sed-quiescent,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,adapt-const-res-sed-quiescent,fits,Multi-waveband_composite_spectra
mstarpanspec,adapt-const-res-sed-quiescent,fits,Multi-instrument_composite_spectra
mstarpanspec,adapt-const-res-sed-quiescent,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,component-sed-flare,fits,Spectra
mstarpanspec,var-res-sed,fits,Multi-waveband_composite_spectra
mstarpanspec,var-res-sed,fits,Multi-instrument_composite_spectra
mstarpanspec,var-res-sed,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,component-sed-quiescent,fits,Spectra
mstarpanspec,adapt-const-res-sed-flare,fits,Multi-waveband_composite_spectra
mstarpanspec,adapt-const-res-sed-flare,fits,Multi-instrument_composite_spectra
mstarpanspec,adapt-const-res-sed-flare,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,adapt-const-res-sed,fits,Multi-waveband_composite_spectra
mstarpanspec,adapt-const-res-sed,fits,Multi-instrument_composite_spectra
mstarpanspec,adapt-const-res-sed,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,const-res-sed-flare,fits,Multi-waveband_composite_spectra
mstarpanspec,const-res-sed-flare,fits,Multi-instrument_composite_spectra
mstarpanspec,const-res-sed-flare,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,adapt-var-res-sed-quiescent,fits,Multi-waveband_composite_spectra
mstarpanspec,adapt-var-res-sed-quiescent,fits,Multi-instrument_composite_spectra
mstarpanspec,adapt-var-res-sed-quiescent,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,adapt-var-res-sed,fits,Multi-waveband_composite_spectra
mstarpanspec,adapt-var-res-sed,fits,Multi-instrument_composite_spectra
mstarpanspec,adapt-var-res-sed,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,component-sed,fits,Spectra
mstarpanspec,const-res-sed,fits,Multi-waveband_composite_spectra
mstarpanspec,const-res-sed,fits,Multi-instrument_composite_spectra
mstarpanspec,const-res-sed,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,var-res-sed-flare,fits,Multi-waveband_composite_spectra
mstarpanspec,var-res-sed-flare,fits,Multi-instrument_composite_spectra
mstarpanspec,var-res-sed-flare,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,adapt-var-res-sed-flare,fits,Multi-waveband_composite_spectra
mstarpanspec,adapt-var-res-sed-flare,fits,Multi-instrument_composite_spectra
mstarpanspec,adapt-var-res-sed-flare,fits,Intrinsic_spectral_energy_distributions
mstarpanspec,spec-preview,png,preview
mstarpanspec,var-res-sed-quiescent,fits,this
mstarpanspec,const-res-sed-quiescent,fits,this
mstarpanspec,adapt-const-res-sed-quiescent,fits,this
mstarpanspec,spec-preview,pdf,preview
mstarpanspec,component-sed-flare,fits,this
mstarpanspec,var-res-sed,fits,this
mstarpanspec,component-sed-quiescent,fits,this
mstarpanspec,adapt-const-res-sed-flare,fits,this
mstarpanspec,adapt-const-res-sed,fits,this
mstarpanspec,const-res-sed-flare,fits,this
mstarpanspec,adapt-var-res-sed-quiescent,fits,this
mstarpanspec,adapt-var-res-sed,fits,this
mstarpanspec,component-sed,fits,this
mstarpanspec,const-res-sed,fits,this
mstarpanspec,var-res-sed-flare,fits,this
mstarpanspec,adapt-var-res-sed-flare,fits,this
mstarpanspec,spec-preview,png,Derived
mstarpanspec,var-res-sed-quiescent,fits,Derived
mstarpanspec,const-res-sed-quiescent,fits,Derived
mstarpanspec,adapt-const-res-sed-quiescent,fits,Derived
mstarpanspec,spec-preview,pdf,Derived
mstarpanspec,component-sed-flare,fits,Observational
mstarpanspec,var-res-sed,fits,Derived
mstarpanspec,component-sed-quiescent,fits,Observational
mstarpanspec,adapt-const-res-sed-flare,fits,Derived
mstarpanspec,adapt-const-res-sed,fits,Derived
mstarpanspec,const-res-sed-flare,fits,Derived
mstarpanspec,adapt-var-res-sed-quiescent,fits,Derived
mstarpanspec,adapt-var-res-sed,fits,Derived
mstarpanspec,component-sed,fits,Observational
mstarpanspec,const-res-sed,fits,Derived
mstarpanspec,var-res-sed-flare,fits,Derived
mstarpanspec,adapt-var-res-sed-flare,fits,Derived
