ingest_id,ingest_suffix,ingest_format,ingest_uri_short
tess-spoc,tp,fits,Target_Pixel_Files
tess-spoc,tp,fits,Time_series_images
tess-spoc,lc,fits,Light_curves
tess-spoc,dvt,fits,Time_series
tess-spoc,cbv,fits,Co-trending_basis_vectors
tess-spoc,dvs-01,pdf,documentation
tess-spoc,dvs-04,pdf,documentation
tess-spoc,tp,fits,this
tess-spoc,dvm,pdf,documentation
tess-spoc,lc,fits,this
tess-spoc,dvs-02,pdf,documentation
tess-spoc,dvs-03,pdf,documentation
tess-spoc,dvs-05,pdf,documentation
tess-spoc,dvt,fits,auxiliary
tess-spoc,dvs-06,pdf,documentation
tess-spoc,dvr,pdf,documentation
tess-spoc,dvr,xml,documentation
tess-spoc,cbv,fits,auxiliary
tess-spoc,dvs-01,pdf,Observational
tess-spoc,dvs-04,pdf,Observational
tess-spoc,tp,fits,Observational
tess-spoc,dvm,pdf,Observational
tess-spoc,lc,fits,Observational
tess-spoc,dvs-02,pdf,Observational
tess-spoc,dvs-03,pdf,Observational
tess-spoc,dvs-05,pdf,Observational
tess-spoc,dvt,fits,Observational
tess-spoc,dvs-06,pdf,Observational
tess-spoc,dvr,pdf,Observational
tess-spoc,dvr,xml,Observational
tess-spoc,cbv,fits,Observational
