ingest_id,ingest_suffix,ingest_format,ingest_uri_short
cosmos-dash,drz-sci,fits,Image_mosaics
cosmos-dash,drz-sci,fits,Drizzled_images
cosmos-dash,drz-sci,fits,Dithered_images
cosmos-dash,morph-cat,txt,Morphology_catalogs
cosmos-dash,morph-cat,txt,Mass_catalogs
cosmos-dash,drizzled-psf,tar.gz,Point_spread_functions
cosmos-dash,pointings-info,txt,background
cosmos-dash,drz-sci,fits,this
cosmos-dash,shifts,tar.gz,calibration
cosmos-dash,pointings-reg,txt,auxiliary
cosmos-dash,drz-wht,fits,weight
cosmos-dash,morph-cat,txt,this
cosmos-dash,drizzled-psf,tar.gz,calibration
cosmos-dash,pointings-info,txt,Observational
cosmos-dash,drz-sci,fits,Observational
cosmos-dash,shifts,tar.gz,Observational
cosmos-dash,pointings-reg,txt,Observational
cosmos-dash,drz-wht,fits,Observational
cosmos-dash,morph-cat,txt,Observational
cosmos-dash,drizzled-psf,tar.gz,Observational
