ingest_id,ingest_suffix,ingest_format,ingest_uri_short
hacks,phot-catalog-ep6,fits,Photometry_catalogs
hacks,phot-catalog-ep1,txt,Photometry_catalogs
hacks,phot-catalog-ep6,txt,Photometry_catalogs
hacks,pm-catalog,fits,Astrometric_catalogs
hacks,phot-catalog-ep3,fits,Photometry_catalogs
hacks,phot-catalog-ep1,fits,Photometry_catalogs
hacks,phot-catalog-ep2,fits,Photometry_catalogs
hacks,phot-catalog-ep3,txt,Photometry_catalogs
hacks,pm-catalog,txt,Astrometric_catalogs
hacks,phot-catalog-ep5,fits,Photometry_catalogs
hacks,vdisp,txt,Astrometric_catalogs
hacks,phot-catalog-ep2,txt,Photometry_catalogs
hacks,phot-catalog-ep4,txt,Photometry_catalogs
hacks,phot-catalog-ep4,fits,Photometry_catalogs
hacks,phot-catalog-ep5,txt,Photometry_catalogs
hacks,phot-catalog-ep6,fits,this
hacks,phot-catalog-ep1,txt,this
hacks,phot-catalog-ep6,txt,this
hacks,pm-catalog,fits,this
hacks,observation-table,pdf,documentation
hacks,phot-catalog-ep3,fits,this
hacks,phot-catalog-ep1,fits,this
hacks,phot-catalog-ep2,fits,this
hacks,phot-catalog-ep3,txt,this
hacks,preview,png,preview
hacks,pm-catalog,txt,this
hacks,phot-catalog-ep5,fits,this
hacks,vdisp,txt,this
hacks,phot-catalog-ep2,txt,this
hacks,phot-catalog-ep4,txt,this
hacks,phot-catalog-ep4,fits,this
hacks,phot-catalog-ep5,txt,this
hacks,phot-catalog-ep6,fits,Observational
hacks,phot-catalog-ep1,txt,Observational
hacks,phot-catalog-ep6,txt,Observational
hacks,pm-catalog,fits,Observational
hacks,observation-table,pdf,Observational
hacks,phot-catalog-ep3,fits,Observational
hacks,phot-catalog-ep1,fits,Observational
hacks,phot-catalog-ep2,fits,Observational
hacks,phot-catalog-ep3,txt,Observational
hacks,preview,png,Observational
hacks,pm-catalog,txt,Observational
hacks,phot-catalog-ep5,fits,Observational
hacks,vdisp,txt,Observational
hacks,phot-catalog-ep2,txt,Observational
hacks,phot-catalog-ep4,txt,Observational
hacks,phot-catalog-ep4,fits,Observational
hacks,phot-catalog-ep5,txt,Observational
